fall_term,campus,atp_code,cds_code,high_school,city,county,cde_district,zip,lat,lon,charter,applicants,admits,enrollees,admit_rate,yield_rate,applicant_gpa,admit_gpa,enrollee_gpa,adm_african_american,adm_american_indian,adm_asian,adm_domestic_unknown,adm_hispanic_latinx,adm_int_l,adm_pacific_islander,adm_white,app_african_american,app_american_indian,app_asian,app_domestic_unknown,app_hispanic_latinx,app_int_l,app_pacific_islander,app_white,enr_african_american,enr_american_indian,enr_asian,enr_domestic_unknown,enr_hispanic_latinx,enr_int_l,enr_pacific_islander,enr_white,school_type,match_method,cohort_students,graduates,grad_rate,ag_completers,ag_completion_rate,hs_completers,college_going_rate,enrolled_uc,enrolled_csu,enrolled_ccc,enrolled_in_state_private,enrolled_out_of_state,enrollment_k12,frpm_count,frpm_pct,caaspp_ela_mean_score,caaspp_mathematics_mean_score,caaspp_ela_pct_met,caaspp_mathematics_pct_met
2005,Universitywide,52910,38684783833241,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,San Francisco Unified,94116-1723,37.747259,-122.48132,N,172.0,145.0,104.0,0.8430232558139535,0.7172413793103448,3.8975,4.005362319,4.101428571,,,120.0,9.0,5.0,,,9.0,,,144.0,10.0,6.0,,,9.0,,,88.0,5.0,4.0,,,5.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53075,43696664333795,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,San Jose Unified,95126-2002,37.329212,-121.92388,N,80.0,69.0,34.0,0.8625,0.4927536231884058,3.946744186,4.001764706,4.127931034,,,16.0,6.0,14.0,,,32.0,,,17.0,7.0,20.0,,,35.0,,,7.0,,7.0,,,18.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,51315,07616300730283,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Acalanes Union High,94549-2623,37.904313,-122.09906,N,138.0,129.0,62.0,0.9347826086956522,0.4806201550387597,3.980797546,3.99125,4.07245283,,,20.0,12.0,6.0,,,88.0,,,22.0,13.0,6.0,,,94.0,,,15.0,5.0,,,,40.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53276,43696744338802,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Santa Clara Unified,95051-1153,37.366875,-121.98578,N,75.0,71.0,44.0,0.9466666666666668,0.6197183098591549,3.851448276,3.89720339,4.016071429,,,40.0,,6.0,,,19.0,,,42.0,,7.0,,,20.0,,,28.0,,3.0,,,10.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50011,01611190130609,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Alameda Unified,94501-1851,37.779051,-122.28703,Y,11.0,10.0,4.0,0.9090909090909092,0.4,3.862,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,K-12 Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50005,01611190130229,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Alameda Unified,94501-4406,37.764958,-122.24593,N,163.0,143.0,88.0,0.8773006134969326,0.6153846153846154,3.96852459,4.023732057,4.075772358,9.0,,84.0,6.0,11.0,,,30.0,11.0,,98.0,6.0,12.0,,,32.0,6.0,,56.0,,4.0,,,18.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50035,01611270130450,ALBANY HIGH SCHOOL,Albany,Alameda,Albany City Unified,94706-1422,37.896661,-122.29257,N,126.0,119.0,76.0,0.9444444444444444,0.6386554621848739,3.918080808,3.973913043,4.049444444,4.0,,46.0,14.0,8.0,5.0,,42.0,6.0,,47.0,15.0,9.0,5.0,,44.0,,,34.0,10.0,5.0,,,25.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,51915,07617390730549,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Martinez Unified,94553-3139,38.002496,-122.13371,N,50.0,43.0,17.0,0.86,0.3953488372093023,3.935365854,3.967352941,4.184545455,,,5.0,5.0,7.0,,,26.0,,,5.0,6.0,7.0,,,31.0,,,3.0,,,,,10.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,52495,01751010130583,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Pleasanton Unified,94566-6176,37.668296,-121.87327,N,117.0,110.0,58.0,0.9401709401709402,0.5272727272727272,3.859924242,3.917963526,3.985342466,,,35.0,8.0,12.0,,,55.0,,,38.0,8.0,13.0,,,57.0,,,27.0,5.0,4.0,,,22.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50974,01611760130062,AMERICAN HIGH SCHOOL,Fremont,Alameda,Fremont Unified,94536-3511,37.563645,-122.01747,N,104.0,95.0,54.0,0.9134615384615384,0.5684210526315789,3.950806846,3.988552279,4.063434343,,,69.0,7.0,5.0,,,12.0,,,74.0,8.0,7.0,,,13.0,,,42.0,5.0,,,,6.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,
