entrant_level,campus,fall_term,count_type,ethnicity,n
freshman,Systemwide,2017,App,African American,9664
freshman,Systemwide,2018,App,African American,10294
freshman,Systemwide,2019,App,African American,9866
freshman,Systemwide,2020,App,African American,9513
freshman,Systemwide,2021,App,African American,12771
freshman,Systemwide,2022,App,African American,12990
freshman,Systemwide,2023,App,African American,12435
freshman,Systemwide,2024,App,African American,12895
freshman,Systemwide,2025,App,African American,12167
freshman,Systemwide,2017,App,American Indian,969
freshman,Systemwide,2018,App,American Indian,902
freshman,Systemwide,2019,App,American Indian,765
freshman,Systemwide,2020,App,American Indian,744
freshman,Systemwide,2021,App,American Indian,842
freshman,Systemwide,2022,App,American Indian,1152
freshman,Systemwide,2023,App,American Indian,1188
freshman,Systemwide,2024,App,American Indian,1190
freshman,Systemwide,2025,App,American Indian,1128
freshman,Systemwide,2017,App,Asian,43485
freshman,Systemwide,2018,App,Asian,48062
freshman,Systemwide,2019,App,Asian,47698
freshman,Systemwide,2020,App,Asian,47605
freshman,Systemwide,2021,App,Asian,55046
freshman,Systemwide,2022,App,Asian,59078
freshman,Systemwide,2023,App,Asian,58903
freshman,Systemwide,2024,App,Asian,58573
freshman,Systemwide,2025,App,Asian,58987
freshman,Systemwide,2017,App,Hispanic/Latino(a),45241
freshman,Systemwide,2018,App,Hispanic/Latino(a),48478
freshman,Systemwide,2019,App,Hispanic/Latino(a),47399
freshman,Systemwide,2020,App,Hispanic/Latino(a),46633
freshman,Systemwide,2021,App,Hispanic/Latino(a),54068
freshman,Systemwide,2022,App,Hispanic/Latino(a),55705
freshman,Systemwide,2023,App,Hispanic/Latino(a),56495
freshman,Systemwide,2024,App,Hispanic/Latino(a),57598
freshman,Systemwide,2025,App,Hispanic/Latino(a),55624
freshman,Systemwide,2017,App,Pacific Islander,507
freshman,Systemwide,2018,App,Pacific Islander,529
freshman,Systemwide,2019,App,Pacific Islander,476
freshman,Systemwide,2020,App,Pacific Islander,435
freshman,Systemwide,2021,App,Pacific Islander,562
freshman,Systemwide,2022,App,Pacific Islander,526
freshman,Systemwide,2023,App,Pacific Islander,533
freshman,Systemwide,2024,App,Pacific Islander,502
freshman,Systemwide,2025,App,Pacific Islander,508
freshman,Systemwide,2017,App,White,40187
freshman,Systemwide,2018,App,White,40078
freshman,Systemwide,2019,App,White,38235
freshman,Systemwide,2020,App,White,35518
freshman,Systemwide,2021,App,White,46256
freshman,Systemwide,2022,App,White,45237
freshman,Systemwide,2023,App,White,42733
freshman,Systemwide,2024,App,White,40379
freshman,Systemwide,2025,App,White,38390
freshman,Systemwide,2017,App,Unknown,4612
freshman,Systemwide,2018,App,Unknown,5220
freshman,Systemwide,2019,App,Unknown,4507
freshman,Systemwide,2020,App,Unknown,5151
freshman,Systemwide,2021,App,Unknown,4908
freshman,Systemwide,2022,App,Unknown,4996
freshman,Systemwide,2023,App,Unknown,5135
freshman,Systemwide,2024,App,Unknown,6446
freshman,Systemwide,2025,App,Unknown,6498
freshman,Systemwide,2017,App,International,27193
freshman,Systemwide,2018,App,International,28566
freshman,Systemwide,2019,App,International,27770
freshman,Systemwide,2020,App,International,26709
freshman,Systemwide,2021,App,International,29389
freshman,Systemwide,2022,App,International,31326
freshman,Systemwide,2023,App,International,29452
freshman,Systemwide,2024,App,International,29548
freshman,Systemwide,2025,App,International,32087
freshman,Systemwide,2017,Adm,African American,4352
freshman,Systemwide,2018,Adm,African American,4444
freshman,Systemwide,2019,Adm,African American,4406
freshman,Systemwide,2020,Adm,African American,5170
freshman,Systemwide,2021,Adm,African American,6839
freshman,Systemwide,2022,Adm,African American,6399
freshman,Systemwide,2023,Adm,African American,6559
freshman,Systemwide,2024,Adm,African American,7139
freshman,Systemwide,2025,Adm,African American,7620
freshman,Systemwide,2017,Adm,American Indian,561
freshman,Systemwide,2018,Adm,American Indian,507
freshman,Systemwide,2019,Adm,American Indian,439
freshman,Systemwide,2020,Adm,American Indian,476
freshman,Systemwide,2021,Adm,American Indian,560
freshman,Systemwide,2022,Adm,American Indian,687
freshman,Systemwide,2023,Adm,American Indian,766
freshman,Systemwide,2024,Adm,American Indian,757
freshman,Systemwide,2025,Adm,American Indian,788
freshman,Systemwide,2017,Adm,Asian,30302
freshman,Systemwide,2018,Adm,Asian,32138
freshman,Systemwide,2019,Adm,Asian,32567
freshman,Systemwide,2020,Adm,Asian,36034
freshman,Systemwide,2021,Adm,Asian,38738
freshman,Systemwide,2022,Adm,Asian,39264
freshman,Systemwide,2023,Adm,Asian,40719
freshman,Systemwide,2024,Adm,Asian,41519
freshman,Systemwide,2025,Adm,Asian,45313
freshman,Systemwide,2017,Adm,Hispanic/Latino(a),24414
freshman,Systemwide,2018,Adm,Hispanic/Latino(a),25078
freshman,Systemwide,2019,Adm,Hispanic/Latino(a),26247
freshman,Systemwide,2020,Adm,Hispanic/Latino(a),30468
freshman,Systemwide,2021,Adm,Hispanic/Latino(a),34279
freshman,Systemwide,2022,Adm,Hispanic/Latino(a),34121
freshman,Systemwide,2023,Adm,Hispanic/Latino(a),36381
freshman,Systemwide,2024,Adm,Hispanic/Latino(a),38781
freshman,Systemwide,2025,Adm,Hispanic/Latino(a),41458
freshman,Systemwide,2017,Adm,Pacific Islander,257
freshman,Systemwide,2018,Adm,Pacific Islander,265
freshman,Systemwide,2019,Adm,Pacific Islander,259
freshman,Systemwide,2020,Adm,Pacific Islander,265
freshman,Systemwide,2021,Adm,Pacific Islander,341
freshman,Systemwide,2022,Adm,Pacific Islander,296
freshman,Systemwide,2023,Adm,Pacific Islander,321
freshman,Systemwide,2024,Adm,Pacific Islander,304
freshman,Systemwide,2025,Adm,Pacific Islander,374
freshman,Systemwide,2017,Adm,White,23941
freshman,Systemwide,2018,Adm,White,22874
freshman,Systemwide,2019,Adm,White,22469
freshman,Systemwide,2020,Adm,White,23503
freshman,Systemwide,2021,Adm,White,27682
freshman,Systemwide,2022,Adm,White,24079
freshman,Systemwide,2023,Adm,White,25578
freshman,Systemwide,2024,Adm,White,25099
freshman,Systemwide,2025,Adm,White,26368
freshman,Systemwide,2017,Adm,Unknown,2928
freshman,Systemwide,2018,Adm,Unknown,3232
freshman,Systemwide,2019,Adm,Unknown,2877
freshman,Systemwide,2020,Adm,Unknown,3581
freshman,Systemwide,2021,Adm,Unknown,3427
freshman,Systemwide,2022,Adm,Unknown,3161
freshman,Systemwide,2023,Adm,Unknown,3425
freshman,Systemwide,2024,Adm,Unknown,4430
freshman,Systemwide,2025,Adm,Unknown,4832
freshman,Systemwide,2017,Adm,International,18067
freshman,Systemwide,2018,Adm,International,18901
freshman,Systemwide,2019,Adm,International,18404
freshman,Systemwide,2020,Adm,International,18745
freshman,Systemwide,2021,Adm,International,19796
freshman,Systemwide,2022,Adm,International,17226
freshman,Systemwide,2023,Adm,International,17418
freshman,Systemwide,2024,Adm,International,18967
freshman,Systemwide,2025,Adm,International,21923
freshman,Systemwide,2017,Enr,African American,1873
freshman,Systemwide,2018,Enr,African American,1915
freshman,Systemwide,2019,Enr,African American,1778
freshman,Systemwide,2020,Enr,African American,1916
freshman,Systemwide,2021,Enr,African American,2298
freshman,Systemwide,2022,Enr,African American,2274
freshman,Systemwide,2023,Enr,African American,2404
freshman,Systemwide,2024,Enr,African American,2492
freshman,Systemwide,2025,Enr,African American,2468
freshman,Systemwide,2017,Enr,American Indian,204
freshman,Systemwide,2018,Enr,American Indian,223
freshman,Systemwide,2019,Enr,American Indian,193
freshman,Systemwide,2020,Enr,American Indian,184
freshman,Systemwide,2021,Enr,American Indian,214
freshman,Systemwide,2022,Enr,American Indian,310
freshman,Systemwide,2023,Enr,American Indian,320
freshman,Systemwide,2024,Enr,American Indian,346
freshman,Systemwide,2025,Enr,American Indian,319
freshman,Systemwide,2017,Enr,Asian,15390
freshman,Systemwide,2018,Enr,Asian,16294
freshman,Systemwide,2019,Enr,Asian,16246
freshman,Systemwide,2020,Enr,Asian,17347
freshman,Systemwide,2021,Enr,Asian,17990
freshman,Systemwide,2022,Enr,Asian,18381
freshman,Systemwide,2023,Enr,Asian,18670
freshman,Systemwide,2024,Enr,Asian,18489
freshman,Systemwide,2025,Enr,Asian,18678
freshman,Systemwide,2017,Enr,Hispanic/Latino(a),11960
freshman,Systemwide,2018,Enr,Hispanic/Latino(a),11678
freshman,Systemwide,2019,Enr,Hispanic/Latino(a),11695
freshman,Systemwide,2020,Enr,Hispanic/Latino(a),11916
freshman,Systemwide,2021,Enr,Hispanic/Latino(a),13573
freshman,Systemwide,2022,Enr,Hispanic/Latino(a),13065
freshman,Systemwide,2023,Enr,Hispanic/Latino(a),14482
freshman,Systemwide,2024,Enr,Hispanic/Latino(a),14103
freshman,Systemwide,2025,Enr,Hispanic/Latino(a),14694
freshman,Systemwide,2017,Enr,Pacific Islander,97
freshman,Systemwide,2018,Enr,Pacific Islander,104
freshman,Systemwide,2019,Enr,Pacific Islander,116
freshman,Systemwide,2020,Enr,Pacific Islander,97
freshman,Systemwide,2021,Enr,Pacific Islander,137
freshman,Systemwide,2022,Enr,Pacific Islander,101
freshman,Systemwide,2023,Enr,Pacific Islander,125
freshman,Systemwide,2024,Enr,Pacific Islander,108
freshman,Systemwide,2025,Enr,Pacific Islander,136
freshman,Systemwide,2017,Enr,White,9314
freshman,Systemwide,2018,Enr,White,8871
freshman,Systemwide,2019,Enr,White,8867
freshman,Systemwide,2020,Enr,White,8826
freshman,Systemwide,2021,Enr,White,10152
freshman,Systemwide,2022,Enr,White,8813
freshman,Systemwide,2023,Enr,White,9030
freshman,Systemwide,2024,Enr,White,8744
freshman,Systemwide,2025,Enr,White,8856
freshman,Systemwide,2017,Enr,Unknown,1214
freshman,Systemwide,2018,Enr,Unknown,1327
freshman,Systemwide,2019,Enr,Unknown,1128
freshman,Systemwide,2020,Enr,Unknown,1334
freshman,Systemwide,2021,Enr,Unknown,1355
freshman,Systemwide,2022,Enr,Unknown,1187
freshman,Systemwide,2023,Enr,Unknown,1349
freshman,Systemwide,2024,Enr,Unknown,1544
freshman,Systemwide,2025,Enr,Unknown,1592
freshman,Systemwide,2017,Enr,International,5954
freshman,Systemwide,2018,Enr,International,6265
freshman,Systemwide,2019,Enr,International,5928
freshman,Systemwide,2020,Enr,International,5089
freshman,Systemwide,2021,Enr,International,6008
freshman,Systemwide,2022,Enr,International,4457
freshman,Systemwide,2023,Enr,International,4586
freshman,Systemwide,2024,Enr,International,4796
freshman,Systemwide,2025,Enr,International,5866
freshman,Berkeley,2017,App,African American,4439
freshman,Berkeley,2018,App,African American,4743
freshman,Berkeley,2019,App,African American,4364
freshman,Berkeley,2020,App,African American,4454
freshman,Berkeley,2021,App,African American,6587
freshman,Berkeley,2022,App,African American,7313
freshman,Berkeley,2023,App,African American,6993
freshman,Berkeley,2024,App,African American,6918
freshman,Berkeley,2025,App,African American,6598
freshman,Berkeley,2017,App,American Indian,427
freshman,Berkeley,2018,App,American Indian,382
freshman,Berkeley,2019,App,American Indian,338
freshman,Berkeley,2020,App,American Indian,292
freshman,Berkeley,2021,App,American Indian,365
freshman,Berkeley,2022,App,American Indian,581
freshman,Berkeley,2023,App,American Indian,588
freshman,Berkeley,2024,App,American Indian,620
freshman,Berkeley,2025,App,American Indian,535
freshman,Berkeley,2017,App,Asian,25944
freshman,Berkeley,2018,App,Asian,28946
freshman,Berkeley,2019,App,Asian,28913
freshman,Berkeley,2020,App,Asian,29789
freshman,Berkeley,2021,App,Asian,36553
freshman,Berkeley,2022,App,Asian,42488
freshman,Berkeley,2023,App,Asian,42772
freshman,Berkeley,2024,App,Asian,42207
freshman,Berkeley,2025,App,Asian,43575
freshman,Berkeley,2017,App,Hispanic/Latino(a),15883
freshman,Berkeley,2018,App,Hispanic/Latino(a),16293
freshman,Berkeley,2019,App,Hispanic/Latino(a),15877
freshman,Berkeley,2020,App,Hispanic/Latino(a),15780
freshman,Berkeley,2021,App,Hispanic/Latino(a),21484
freshman,Berkeley,2022,App,Hispanic/Latino(a),25690
freshman,Berkeley,2023,App,Hispanic/Latino(a),25706
freshman,Berkeley,2024,App,Hispanic/Latino(a),25176
freshman,Berkeley,2025,App,Hispanic/Latino(a),25084
freshman,Berkeley,2017,App,Pacific Islander,222
freshman,Berkeley,2018,App,Pacific Islander,224
freshman,Berkeley,2019,App,Pacific Islander,203
freshman,Berkeley,2020,App,Pacific Islander,198
freshman,Berkeley,2021,App,Pacific Islander,274
freshman,Berkeley,2022,App,Pacific Islander,267
freshman,Berkeley,2023,App,Pacific Islander,282
freshman,Berkeley,2024,App,Pacific Islander,247
freshman,Berkeley,2025,App,Pacific Islander,280
freshman,Berkeley,2017,App,White,20053
freshman,Berkeley,2018,App,White,18911
freshman,Berkeley,2019,App,White,18013
freshman,Berkeley,2020,App,White,17440
freshman,Berkeley,2021,App,White,23198
freshman,Berkeley,2022,App,White,25181
freshman,Berkeley,2023,App,White,23944
freshman,Berkeley,2024,App,White,21980
freshman,Berkeley,2025,App,White,21690
freshman,Berkeley,2017,App,Unknown,2643
freshman,Berkeley,2018,App,Unknown,3046
freshman,Berkeley,2019,App,Unknown,2655
freshman,Berkeley,2020,App,Unknown,3006
freshman,Berkeley,2021,App,Unknown,3393
freshman,Berkeley,2022,App,Unknown,3577
freshman,Berkeley,2023,App,Unknown,3770
freshman,Berkeley,2024,App,Unknown,4847
freshman,Berkeley,2025,App,Unknown,5095
freshman,Berkeley,2017,App,International,15434
freshman,Berkeley,2018,App,International,17064
freshman,Berkeley,2019,App,International,17035
freshman,Berkeley,2020,App,International,17105
freshman,Berkeley,2021,App,International,20981
freshman,Berkeley,2022,App,International,23113
freshman,Berkeley,2023,App,International,21855
freshman,Berkeley,2024,App,International,22247
freshman,Berkeley,2025,App,International,23973
freshman,Berkeley,2017,Adm,African American,493
freshman,Berkeley,2018,Adm,African American,523
freshman,Berkeley,2019,Adm,African American,508
freshman,Berkeley,2020,Adm,African American,733
freshman,Berkeley,2021,Adm,African American,850
freshman,Berkeley,2022,Adm,African American,724
freshman,Berkeley,2023,Adm,African American,708
freshman,Berkeley,2024,Adm,African American,683
freshman,Berkeley,2025,Adm,African American,685
freshman,Berkeley,2017,Adm,American Indian,92
freshman,Berkeley,2018,Adm,American Indian,52
freshman,Berkeley,2019,Adm,American Indian,82
freshman,Berkeley,2020,Adm,American Indian,72
freshman,Berkeley,2021,Adm,American Indian,116
freshman,Berkeley,2022,Adm,American Indian,100
freshman,Berkeley,2023,Adm,American Indian,113
freshman,Berkeley,2024,Adm,American Indian,110
freshman,Berkeley,2025,Adm,American Indian,132
freshman,Berkeley,2017,Adm,Asian,5868
freshman,Berkeley,2018,Adm,Asian,5359
freshman,Berkeley,2019,Adm,Asian,5952
freshman,Berkeley,2020,Adm,Asian,6209
freshman,Berkeley,2021,Adm,Asian,6069
freshman,Berkeley,2022,Adm,Asian,5653
freshman,Berkeley,2023,Adm,Asian,5638
freshman,Berkeley,2024,Adm,Asian,5511
freshman,Berkeley,2025,Adm,Asian,5705
freshman,Berkeley,2017,Adm,Hispanic/Latino(a),2117
freshman,Berkeley,2018,Adm,Hispanic/Latino(a),2083
freshman,Berkeley,2019,Adm,Hispanic/Latino(a),2282
freshman,Berkeley,2020,Adm,Hispanic/Latino(a),3369
freshman,Berkeley,2021,Adm,Hispanic/Latino(a),3595
freshman,Berkeley,2022,Adm,Hispanic/Latino(a),3261
freshman,Berkeley,2023,Adm,Hispanic/Latino(a),3556
freshman,Berkeley,2024,Adm,Hispanic/Latino(a),3009
freshman,Berkeley,2025,Adm,Hispanic/Latino(a),2962
freshman,Berkeley,2017,Adm,Pacific Islander,27
freshman,Berkeley,2018,Adm,Pacific Islander,19
freshman,Berkeley,2019,Adm,Pacific Islander,26
freshman,Berkeley,2020,Adm,Pacific Islander,26
freshman,Berkeley,2021,Adm,Pacific Islander,44
freshman,Berkeley,2022,Adm,Pacific Islander,22
freshman,Berkeley,2023,Adm,Pacific Islander,38
freshman,Berkeley,2024,Adm,Pacific Islander,33
freshman,Berkeley,2025,Adm,Pacific Islander,25
freshman,Berkeley,2017,Adm,White,3947
freshman,Berkeley,2018,Adm,White,3115
freshman,Berkeley,2019,Adm,White,3223
freshman,Berkeley,2020,Adm,White,2809
freshman,Berkeley,2021,Adm,White,3265
freshman,Berkeley,2022,Adm,White,2950
freshman,Berkeley,2023,Adm,White,2828
freshman,Berkeley,2024,Adm,White,2700
freshman,Berkeley,2025,Adm,White,2607
freshman,Berkeley,2017,Adm,Unknown,706
freshman,Berkeley,2018,Adm,Unknown,697
freshman,Berkeley,2019,Adm,Unknown,661
freshman,Berkeley,2020,Adm,Unknown,705
freshman,Berkeley,2021,Adm,Unknown,665
freshman,Berkeley,2022,Adm,Unknown,558
freshman,Berkeley,2023,Adm,Unknown,629
freshman,Berkeley,2024,Adm,Unknown,858
freshman,Berkeley,2025,Adm,Unknown,853
freshman,Berkeley,2017,Adm,International,1299
freshman,Berkeley,2018,Adm,International,1453
freshman,Berkeley,2019,Adm,International,1543
freshman,Berkeley,2020,Adm,International,1467
